Nome reperto;Indirizzo;Tipo
Cippo funerario in ricordo di Orseolo Barozzi;Strada Valbusa, cimitero di Custoza, 37066 Sommacampagna VR;Monumento
Cippo funerario in ricordo di Don Bartolomeo Burti;Via Francesco Zomer, cimitero di Sommacampagna, 37066 Sommacampagna VR;Monumento
Lapide commemorativa in ricordo di Stefano Messaggi;Strada Sommacampagna, 12 37066 Sommacampagna VR;Monumento
Lapide in ricordo del soggiorno del principe Ferdinando di Savoia;Via Cesare Battisti, 8 37066 Sommacampagna VR;Monumento
Lapide in ricordo del soggiorno di Vittorio Emanuele II;Via Francesco Zomer 2, 37066 Sommacampagna VR;Monumento
Monumento al principe Amedeo di Savio, duca D'Aosta;Strada Sommacampagna, 1 37066 Sommacampagna VR;Monumento
Monumento dedicato ai Granatieri di Sardegna;loc. Monte Croce, Strada del Tamburino Sardo, 37066 Sommacampagna VR;Monumento
Lapide dedicata a don Bartolomeo Burti;Piazza C. Alberto, 1 37066 Sommacampagna VR;Monumento
Targa in ricordo del soggiorno di Carlo Alberto;Piazza C. Alberto, 1 37066 Sommacampagna VR;Monumento
Ossario di Custoza;Strada Ossario, 37066 Sommacampagna VR;Monumento nazionale
Cippo funerario in ricordo degli ufficiali della Imperial-regia Brigata Oberst;Cimitero di Custoza, strada Valbusa, 37066 Sommacampagna VR;Monumento
Lapide di Don Gaetano Pivatelli;Cimitero di Custoza, strada Valbusa, 37066 Sommacampagna VR;Monumento
Croce austriaca per Theodor Kirkovic;Via del Combattente, 37066 Sommacampagna VR;Monumento
Targa Tamburino Sardo;Strada del Tamburino Sardo 28, 37066 Sommacampagna VR;Monumento

