Nome reperto;Indirizzo;Tipo;
Casa della Pace di Villafranca e annesso giardino;Via Pace, 10;Edificio storico;
Corte Valesi;Corso Vittorio Emanuele II;Edificio storico;
Palazzo Galeotti;Corso Vittorio Emanuele II;Edificio storico;
Monumento del Quadrato;Via Quadrato - Via San Giovanni della Paglia;Monumento;
Cimitero di Villafranca di Verona;Via del Cimitero;Monumento;
Ex Poligono Tiro a Segno;Via Custoza, 16;Edificio storico;
Chiesa Santi Pietro e Paolo;Corso Vittorio Emanuele II;Edificio religioso;
Corte Spellini;Località Fornaci;Edificio storico;
Chiesa San Matteo Apostolo;Via Mazzini;Edificio religioso;
Villa Alessandri;Via Alessandri;Edificio storico;
Castello Scaligero;Piazza Castello;Edificio storico;
Chiesa del Cristo;Piazza Castello;Edificio religioso;
Villa Gazzola;Via Mazzini;Edificio storico;
Villa Bisinelli Bottacini;Via Rinaldo da Villafranca, 16;Edificio storico;
Chiesa San Girolamo Dottore;Via Principe Amedeo;Edificio religioso;
